PublishedFileID	Id	Directory_Name	Name	Title	Version	MinimumGameVersion	RequiredMods_Id	RequiredMods_MinimumVersion	OptionalMods_Id	OptionalMods_MinimumVersion
2409939	hytone.rotatingsun	version-0.7	RotatingSun	Rotating Sun	7.0.1	0.7.0.0	Harmony	2.3.3		
2409939	hytone.rotatingsun	version-0.7	RotatingSun	Rotating Sun	7.0.1	0.7.0.0	TimberApi	0.7.9.0		
2409939	hytone.rotatingsun	version-0.7	RotatingSun	Rotating Sun	7.0.1	0.7.0.0	eMka.ModSettings	0.7.0.0		
2409939	hytone.rotatingsun	version-1.0	RotatingSun	Rotating Sun	10.0.3	1.0.0.0	Harmony	2.3.3		
2409939	hytone.rotatingsun	version-1.0	RotatingSun	Rotating Sun	10.0.3	1.0.0.0	eMka.ModSettings	1.0.0.0		
2409939	hytone.rotatingsun	version-0.6	RotatingSun	Rotating Sun	6.0.2	0.6.7.0	Harmony	2.3.3		
2409939	hytone.rotatingsun	version-0.6	RotatingSun	Rotating Sun	6.0.2	0.6.7.0	TimberApi	0.7.7.0		
2409939	hytone.rotatingsun	version-0.6	RotatingSun	Rotating Sun	6.0.2	0.6.7.0	eMka.ModSettings	0.6.8.0		
2410526	KnatteAnka.waterextention	version-1.0.0	Water Extention	Water Extention	1.0.1.7	1.0.11.1	KnatteAnka.Materials	1.0.1.0		
2410526	KnatteAnka.waterextention	version-1.0.0	Water Extention	Water Extention	1.0.1.7	1.0.11.1	ModdableToolGroups	10.1.0		
2410526	KnatteAnka.waterextention	version-1.0.0	Water Extention	Water Extention	1.0.1.7	1.0.11.1			Emberpelts	
2410526	KnatteAnka.waterextention	version-0.6	Water Extention	Water Extention	2.3.0	0.6.6.0	KnatteAnka.Materials	1.0.2		
2410526	KnatteAnka.waterextention	version-0.6	Water Extention	Water Extention	2.3.0	0.6.6.0			Emberpelts	
2410526	KnatteAnka.waterextention	version-0.6	Water Extention	Water Extention	2.3.0	0.6.6.0			TimberApi	
2410526	KnatteAnka.waterextention	version-0.6	Water Extention	Water Extention	2.3.0	0.6.6.0			Timberborn.IgorZ.TimberCommons	
2410526	KnatteAnka.waterextention	version-0.7.9	Water Extention	Water Extention	7.0.2	0.7.9.0	KnatteAnka.Materials	2.1.0		
2410526	KnatteAnka.waterextention	version-0.7.9	Water Extention	Water Extention	7.0.2	0.7.9.0			Emberpelts	
2410526	KnatteAnka.waterextention	version-0.7.9	Water Extention	Water Extention	7.0.2	0.7.9.0			TimberApi	
2410526	KnatteAnka.waterextention	version-0.7.9	Water Extention	Water Extention	7.0.2	0.7.9.0			Timberborn.IgorZ.TimberCommons	
2410689	KnatteAnka.Staircase	version-1.0.0	Staircase	Staircase	1.0.1.3	1.0.7.0	KnatteAnka.Materials	1.0.1.0		
2410689	KnatteAnka.Staircase	version-0.6	Staircase	Staircase	2.2.2	0.6.6.0	KnatteAnka.Materials	1.0.2		
2410689	KnatteAnka.Staircase	version-0.7.9	Staircase	Staircase	7.0.1	0.7.9.0	KnatteAnka.Materials	2.0.0		
2410739	KnatteAnka.ExtendedFloodgates	version-0.7	ExtendedFloodgates	Extended Floodgates	2.0.1	0.7.3.0	KnatteAnka.Materials	2.1.0		
2410739	KnatteAnka.ExtendedFloodgates	version-0.7	ExtendedFloodgates	Extended Floodgates	2.0.1	0.7.3.0	TimberApi	0.7.5.0		
2410739	KnatteAnka.ExtendedFloodgates	version-1.0.0	ExtendedFloodgates	Extended Floodgates	1.0.0.4	1.0.11.1	KnatteAnka.Materials	1.0.1.0		
2410739	KnatteAnka.ExtendedFloodgates	version-1.0.0	ExtendedFloodgates	Extended Floodgates	1.0.0.4	1.0.11.1	ModdableToolGroups	10.1.0		
2410739	KnatteAnka.ExtendedFloodgates	version-0.6	ExtendedFloodgates	Extended Floodgates	1.0.4	0.6.7.0	KnatteAnka.Materials	1.0.2		
2410739	KnatteAnka.ExtendedFloodgates	version-0.6	ExtendedFloodgates	Extended Floodgates	1.0.4	0.6.7.0	TimberApi	0.7.5.0		
2410739	KnatteAnka.ExtendedFloodgates	version-0.7.9	ExtendedFloodgates	Extended Floodgates	7.0.0	0.7.9.0	KnatteAnka.Materials	2.1.0		
2410739	KnatteAnka.ExtendedFloodgates	version-0.7.9	ExtendedFloodgates	Extended Floodgates	7.0.0	0.7.9.0	TimberApi	0.7.5.0		
2410766	KnatteAnka.damdecoration	version-1.0.0	DamDecoration	Dam Decoration	1.0.0.8	1.0.7.0	ModdableToolGroups	10.1.0		
2410766	KnatteAnka.damdecoration	version-0.6	DamDecoration	Dam Decoration	3.1.1	0.6.5.0	TimberApi	0.7.5.0		
2410766	KnatteAnka.damdecoration	version-0.7.9	DamDecoration	Dam Decoration	7.0.1	0.7.9.0	TimberApi	0.7.5.0		
2418618	Tobbert.MorePlatforms	Version-1.0	More Platforms	More Platforms	3.1.2	1.0.0.0	Harmony			
2437070	ToriiLanterns		Torii Gates and Lanterns	Torii gates and lanterns	2.2.0	0.7.0.0	TimberApi	0.7.0.1		
2437070	ToriiLanterns		Torii Gates and Lanterns	Torii gates and lanterns	2.2.0	0.7.0.0	eMka.ModSettings	0.6.2.0		
2437070	ToriiLanterns		Torii Gates and Lanterns	Torii gates and lanterns	2.2.0	0.7.0.0	AppendVanillaMaterials	0.6.5.00		
2438225	Tobbert.CustomCursors		Custom Cursors	Custom Cursors	2.0.0	0.6.0.0	eMka.ModSettings	0.6.3.0		
2438267	Tobbert.DutchWindmill		Dutch Windmill	Dutch Windmill	2.0.1	0.6.0.0				
2463537	TimberApi	version-0.7	TimberApi	TimberAPI	0.7.12.2	0.7.3.1	Harmony	2.3.3		
2463537	TimberApi	version-1.0	TimberApi	TimberAPI	0.8.0.0	0.7.3.1				
2463537	TimberApi	version-0.6	TimberApi	TimberAPI	0.7.8.0	0.6.9.2	Harmony	2.3.3		
2519375	Hytone.SimpleFloodgateTriggers	version-0.7	SimpleFloodgateTriggers	SimpleFloodgateTriggers	7.0.1	0.7.8.0	Harmony	2.3.3		
2519375	Hytone.SimpleFloodgateTriggers	version-0.7	SimpleFloodgateTriggers	SimpleFloodgateTriggers	7.0.1	0.7.8.0	TimberApi	0.7.9.0		
